niezaleznapl GPtygodnik 27
wSensie Swiat_Rolnika 34
RadioZET_NEWS JacekCzarnecki1 27
RadioZET_NEWS grazwiatr 61
RadioZET_NEWS MaciejBk1 36
RadioZET_NEWS Gosc_RadiaZET 400
FaktyTVN MagazynTVN24 25
FaktyTVN tvnwarszawa 26
FaktyTVN TVN24BiS 43
FaktyTVN tvn24kawa 46
FaktyTVN tvn24rozmowa 97
FaktyTVN tvnmeteo 31
FaktyTVN tvn24 809
rzeczpospolita RPPrawo 158
rzeczpospolita Parkietcom 31
rzeczpospolita JNizinkiewicz 24
rzeczpospolita JHaszczynski 24
rzeczpospolita RPEkonomia 140
OnetWiadomosci onetpl 436
tvp_info MZ_GOV_PL 59
tvn24 MagazynTVN24 27
tvn24 alarm_pogodowy 32
tvn24 tvnwarszawa 60
tvn24 TVN24BiS 105
tvn24 konkret24 37
tvn24 tvn24kawa 46
tvn24 tvn24rozmowa 101
tvn24 tvn24sport 80
tvn24 tvnmeteo 126
tvn24 FaktyTVN 27
